,Date,Total Confirmed,Total Deaths,New Confirmed,New Deaths,Total Vaccinations,People Vaccinated,People Fully Vaccinated,New Total Vaccinations,New People Vaccinated,New People Fully Vaccinated
0,1/1/21,84349491,1891455,574155.0,9713.0,7406208.0,7259035.0,47888.0,222658.0,213340.0,6647.0
1,1/1/22,289901647,5444444,1194627.0,4295.0,7210902121.0,2272786739.0,1934668492.0,13092849.0,2539240.0,4890648.0
2,1/10/21,90618467,2000408,587925.0,8831.0,20394046.0,18321647.0,1852605.0,521716.0,374668.0,75559.0
3,1/10/22,311205800,5500009,3164652.0,6423.0,8307666627.0,2787275125.0,2288392415.0,24749853.0,4978064.0,5225807.0
4,1/11/21,91231354,2010489,612887.0,10081.0,22462289.0,19085546.0,1965070.0,1724851.0,1257073.0,362327.0
5,1/11/22,314294427,5509519,3088627.0,9510.0,8267085503.0,2774485297.0,2273594364.0,34235234.0,8446161.0,8869191.0
6,1/12/21,91936322,2027657,704968.0,17168.0,24613334.0,20733384.0,2332515.0,2150917.0,1647710.0,367445.0
7,1/12/22,317814106,5518759,3519679.0,9240.0,8189120660.0,2716092759.0,2281977768.0,26455982.0,5770671.0,6508234.0
8,1/13/21,92686815,2044530,750493.0,16873.0,38251614.0,23817368.0,2678574.0,2532670.0,2047431.0,345027.0
9,1/13/22,320983846,5526867,3169740.0,8108.0,8376858286.0,2808759680.0,2398520055.0,28300115.0,7274176.0,8259369.0
10,1/14/21,93443003,2060001,756188.0,15471.0,30004452.0,25090785.0,2896506.0,2903535.0,2257281.0,217932.0
11,1/14/22,324264204,5534601,3280358.0,7734.0,8014368286.0,3967528748.0,3351254332.0,19827487.0,3788758.0,3974072.0
12,1/15/21,94216521,2075023,773518.0,15022.0,33091859.0,27325930.0,3066126.0,2782865.0,2131822.0,167203.0
13,1/15/22,326713069,5540797,2448865.0,6196.0,7869552639.0,2615679824.0,2128092929.0,23246673.0,8086241.0,6575569.0
14,1/16/21,94868296,2088739,651775.0,13716.0,34076613.0,27924039.0,3168951.0,1689094.0,1396760.0,103282.0
15,1/16/22,328859765,5545118,2146696.0,4321.0,8334033479.0,2777364323.0,2356431279.0,19166470.0,5683595.0,4728367.0
16,1/17/21,95395555,2097824,527259.0,9085.0,34832484.0,28678727.0,3329054.0,967470.0,692955.0,153864.0
17,1/17/22,331556966,5551351,2697201.0,6233.0,8275554072.0,2769568756.0,2336136274.0,24765442.0,5947640.0,5705086.0
18,1/18/21,95915006,2107595,519451.0,9771.0,37835406.0,31073344.0,3720976.0,2147747.0,1524602.0,388776.0
19,1/18/22,335345053,5560593,3788087.0,9242.0,8608167620.0,2911501961.0,2477986272.0,17672401.0,3211402.0,3752510.0
20,1/19/21,96506649,2124205,591643.0,16610.0,40843832.0,33265522.0,4301601.0,2974935.0,2156155.0,580757.0
21,1/19/22,339551387,5571160,4206334.0,10567.0,8351109577.0,2802365200.0,2375329854.0,34624384.0,10133049.0,12600558.0
22,1/2/21,84938665,1899927,589174.0,8472.0,8700550.0,8544465.0,50804.0,441459.0,432547.0,2915.0
23,1/2/22,290813505,5447658,911858.0,3214.0,7418579911.0,2470754287.0,1966012801.0,11892538.0,5117423.0,2443074.0
24,1/20/21,97207749,2142224,701100.0,18019.0,59364809.0,35863724.0,4997215.0,3275874.0,2357973.0,690740.0
25,1/20/22,343242716,5580614,3691329.0,9454.0,8275259749.0,2751435338.0,2335125150.0,25593491.0,6637202.0,7984527.0
26,1/21/21,97863718,2159379,655969.0,17155.0,47869571.0,38453456.0,5587909.0,3553678.0,2777523.0,595949.0
27,1/21/22,347053558,5590463,3810842.0,9849.0,7797455659.0,3820089911.0,3331745038.0,22527571.0,5512621.0,7370470.0
28,1/22/20,557,17,557.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1/22/21,98527843,2175439,664125.0,16060.0,51995348.0,41921768.0,5979195.0,3697041.0,3109562.0,386255.0
30,1/22/22,349772463,5596578,2718905.0,6115.0,7876746567.0,2579076581.0,2123309818.0,17462662.0,4502239.0,6089526.0
31,1/23/20,657,18,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1/23/21,99100826,2189360,572983.0,13921.0,53314645.0,42540762.0,6225518.0,2278909.0,1840126.0,311851.0
33,1/23/22,352190319,5601544,2417856.0,4966.0,8542709603.0,2839881139.0,2353621600.0,12812112.0,2987731.0,3901144.0
34,1/24/20,944,26,287.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1/24/21,99561948,2198557,461122.0,9197.0,55663997.0,44759104.0,6634717.0,1216080.0,827736.0,301781.0
36,1/24/22,355666701,5610171,3476382.0,8627.0,8747137025.0,3030102841.0,2368328240.0,16793928.0,1929069.0,2274261.0
37,1/25/20,1437,42,493.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1/25/21,100042864,2209583,480916.0,11026.0,58397926.0,46542529.0,7443840.0,3177608.0,2174246.0,834802.0
39,1/25/22,359326108,5620754,3659407.0,10583.0,8413419057.0,2684498911.0,2311571200.0,21621955.0,4757743.0,6505220.0
40,1/26/20,2120,56,683.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1/26/21,100606181,2226994,563317.0,17411.0,62055245.0,48832375.0,8421677.0,3480768.0,2238686.0,996952.0
42,1/26/22,363156900,5631707,3830792.0,10953.0,8606532836.0,2757223169.0,2386609196.0,21435746.0,4436335.0,6041973.0
43,1/27/20,2929,82,809.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1/27/21,101210658,2244349,604477.0,17355.0,88856688.0,51612872.0,9460803.0,4053921.0,2769795.0,1034306.0
45,1/27/22,366852134,5642109,3695234.0,10402.0,8186413522.0,2616886218.0,2283784529.0,19101555.0,2732938.0,4000259.0
46,1/28/20,5580,131,2651.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1/28/21,101820846,2261378,610188.0,17029.0,70639031.0,54758650.0,10480589.0,4551910.0,3181253.0,1031410.0
48,1/28/22,370452663,5654229,3600529.0,12120.0,8085023860.0,3898744656.0,3347159456.0,19192866.0,3770664.0,5824541.0
49,1/29/20,6169,133,589.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
50,1/29/21,102412351,2276766,591505.0,15388.0,73991348.0,56994688.0,11129099.0,4532312.0,3216807.0,877743.0
51,1/29/22,373107415,5662135,2654752.0,7906.0,7966242028.0,2561085016.0,2066253107.0,14637277.0,3192222.0,4705048.0
52,1/3/21,85459542,1907578,520877.0,7651.0,8310932.0,8147255.0,53247.0,362937.0,355936.0,2442.0
53,1/3/22,293236281,5453747,2422776.0,6089.0,7744051701.0,2548715887.0,2032934929.0,23728496.0,6313877.0,4473022.0
54,1/30/20,8237,171,2068.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
55,1/30/21,102931585,2290272,519234.0,13506.0,77259499.0,59394609.0,11716245.0,2743791.0,2034655.0,536748.0
56,1/30/22,375369872,5667733,2262457.0,5598.0,8638418315.0,2789611568.0,2383846048.0,13147723.0,3153118.0,5145170.0
57,1/31/20,9927,213,1690.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
58,1/31/21,103318757,2299043,387172.0,8771.0,103245105.0,60868946.0,12341572.0,1507696.0,897814.0,318312.0
59,1/31/22,378946060,5677459,3576188.0,9726.0,8526977935.0,2697147851.0,2412308241.0,15536999.0,3883163.0,5935900.0
60,1/4/21,86018387,1917636,558845.0,10058.0,9457581.0,9195591.0,99097.0,1027701.0,968396.0,45841.0
61,1/4/22,295761300,5461700,2525019.0,7953.0,7564599696.0,2503349330.0,2087647719.0,26889257.0,7677184.0,4925909.0
62,1/5/21,86763420,1933112,745033.0,15476.0,11564852.0,10414220.0,187514.0,1301323.0,1199383.0,88415.0
63,1/5/22,298326224,5469686,2564924.0,7986.0,7545073330.0,2456170421.0,1996488024.0,29390919.0,8791278.0,5964636.0
64,1/6/21,87560323,1948181,796903.0,15069.0,12977332.0,11497829.0,360102.0,1422503.0,1231494.0,172576.0
65,1/6/22,300959080,5477084,2632856.0,7398.0,7616695970.0,2462857650.0,3211191808.0,29999001.0,8807048.0,6732106.0
66,1/7/21,88451630,1963333,891307.0,15152.0,14769682.0,13061872.0,641641.0,1706187.0,1340018.0,281539.0
67,1/7/22,303885836,5484304,2926756.0,7220.0,7000057336.0,3466345696.0,2999013386.0,31872090.0,10966797.0,10285269.0
68,1/8/21,89275912,1978730,824282.0,15397.0,16712394.0,14452956.0,1005858.0,1786774.0,1342688.0,364217.0
69,1/8/22,306029209,5489653,2143373.0,5349.0,7361863049.0,2360378898.0,1870833815.0,15223251.0,2856297.0,2409895.0
70,1/9/21,90030542,1991577,754630.0,12847.0,26371121.0,14822265.0,1135647.0,882250.0,663628.0,129789.0
71,1/9/22,308041148,5493586,2011939.0,3933.0,7940430058.0,2632739161.0,2157810861.0,20977124.0,6522504.0,5539789.0
72,10/1/20,34348325,1073409,319226.0,8906.0,0.0,0.0,0.0,0.0,0.0,0.0
73,10/1/21,234860364,4793923,521146.0,8607.0,5326782259.0,1882447362.0,1205441012.0,17849500.0,7786801.0,7813817.0
74,10/10/20,37285009,1124017,353714.0,4893.0,0.0,0.0,0.0,0.0,0.0,0.0
75,10/10/21,238499814,4853825,319905.0,4669.0,6002186799.0,2228671257.0,1462891100.0,15635165.0,6758424.0,6982222.0
76,10/11/20,37572808,1128146,287799.0,4129.0,0.0,0.0,0.0,0.0,0.0,0.0
77,10/11/21,238877683,4859569,377869.0,5744.0,5954743483.0,2213165362.0,1491745354.0,15429717.0,5775943.0,7132684.0
78,10/12/20,37867693,1132212,294885.0,4066.0,0.0,0.0,0.0,0.0,0.0,0.0
79,10/12/21,239319550,4867691,441867.0,8122.0,6004148921.0,2228964309.0,1516922751.0,21000798.0,8689613.0,9457986.0
80,10/13/20,38186676,1137631,318983.0,5419.0,0.0,0.0,0.0,0.0,0.0,0.0
81,10/13/21,239777446,4876548,457896.0,8857.0,5967234385.0,2174383283.0,1500551399.0,18855375.0,7154096.0,8185393.0
82,10/14/20,38568202,1143823,381526.0,6192.0,0.0,0.0,0.0,0.0,0.0,0.0
83,10/14/21,240230192,4884532,452746.0,7984.0,6029287956.0,2225488875.0,1523121122.0,19185592.0,7347728.0,7485232.0
84,10/15/20,38976777,1150013,408575.0,6190.0,0.0,0.0,0.0,0.0,0.0,0.0
85,10/15/21,240689479,4891765,459287.0,7233.0,5563403125.0,1968747161.0,1320065751.0,16380633.0,5644762.0,6900333.0
86,10/16/20,39386299,1156228,409522.0,6215.0,0.0,0.0,0.0,0.0,0.0,0.0
87,10/16/21,241037179,4897046,347700.0,5281.0,5503940846.0,1935522536.0,1265962812.0,10935755.0,3598259.0,4562380.0
88,10/17/20,39755625,1161930,369326.0,5702.0,0.0,0.0,0.0,0.0,0.0,0.0
89,10/17/21,241354824,4901319,317645.0,4273.0,6051642774.0,2232333982.0,1535474014.0,12312183.0,5002568.0,5002048.0
90,10/18/20,40085030,1165791,329405.0,3861.0,0.0,0.0,0.0,0.0,0.0,0.0
91,10/18/21,241768568,4907772,413744.0,6453.0,6016628539.0,2210274533.0,1506814522.0,16853085.0,6400255.0,6460020.0
92,10/19/20,40463551,1170536,378521.0,4745.0,0.0,0.0,0.0,0.0,0.0,0.0
93,10/19/21,242215709,4916017,447141.0,8245.0,6067312244.0,2223386910.0,1540968669.0,24246068.0,9130289.0,10968274.0
94,10/2/20,34677537,1079012,329212.0,5603.0,0.0,0.0,0.0,0.0,0.0,0.0
95,10/2/21,235214262,4799801,353898.0,5878.0,5423155615.0,1932373624.0,1252268164.0,16290014.0,7382260.0,7382154.0
96,10/20/20,40853696,1177184,390145.0,6648.0,0.0,0.0,0.0,0.0,0.0,0.0
97,10/20/21,242694027,4924708,478318.0,8691.0,6132639322.0,2266845676.0,1525201863.0,25722301.0,10995435.0,10281461.0
98,10/21/20,41297435,1184046,443739.0,6862.0,0.0,0.0,0.0,0.0,0.0,0.0
99,10/21/21,243157693,4932412,463666.0,7704.0,6238793186.0,2354462720.0,1562788145.0,19069997.0,7182476.0,6967167.0
100,10/22/20,41772845,1189981,475410.0,5935.0,0.0,0.0,0.0,0.0,0.0,0.0
101,10/22/21,243646488,4940603,488795.0,8191.0,5776506607.0,2072376469.0,1342204204.0,20376003.0,6774407.0,8534581.0
102,10/23/20,42269284,1197048,496439.0,7067.0,0.0,0.0,0.0,0.0,0.0,0.0
103,10/23/21,244018110,4946425,371622.0,5822.0,6149368472.0,2301686413.0,2554112833.0,15057322.0,5585357.0,5950317.0
104,10/24/20,42721023,1202922,451739.0,5874.0,0.0,0.0,0.0,0.0,0.0,0.0
105,10/24/21,244334507,4950941,316397.0,4516.0,6112354425.0,2204287763.0,1560249908.0,16245491.0,5712380.0,8120839.0
106,10/25/20,43079334,1207188,358311.0,4266.0,0.0,0.0,0.0,0.0,0.0,0.0
107,10/25/21,244762065,4957584,427558.0,6643.0,6242396306.0,2309889274.0,1588460383.0,14839142.0,3384274.0,6177532.0
108,10/26/20,43566227,1212815,486893.0,5627.0,0.0,0.0,0.0,0.0,0.0,0.0
109,10/26/21,245211651,4965499,449586.0,7915.0,6069214292.0,2208798916.0,1503613694.0,22875096.0,7708457.0,9197864.0
110,10/27/20,44034601,1220283,468374.0,7468.0,0.0,0.0,0.0,0.0,0.0,0.0
